Latitude,Longitude,Time
39.95175,116.35179,2025-06-30 12:45:29+00:00
39.950852,116.352649,2025-06-30 12:48:06+00:00
39.950976,116.354675,2025-06-30 12:48:38+00:00
39.950232,116.355763,2025-06-30 12:49:09+00:00
39.95061,116.35675,2025-06-30 12:49:42+00:00
39.951046,116.357898,2025-06-30 12:50:56+00:00
39.951207,116.359943,2025-06-30 12:51:28+00:00
39.951292,116.362701,2025-06-30 12:52:04+00:00
39.951398,116.364548,2025-06-30 12:52:36+00:00
39.950053,116.365223,2025-06-30 12:53:09+00:00
39.947775,116.365412,2025-06-30 12:53:43+00:00
39.947046,116.366125,2025-06-30 12:54:16+00:00
39.946896,116.365537,2025-06-30 12:54:49+00:00
39.947218,116.368997,2025-06-30 12:56:27+00:00
39.947138,116.371429,2025-06-30 12:56:58+00:00
39.946679,116.374229,2025-06-30 12:57:34+00:00
39.945551,116.376371,2025-06-30 12:58:05+00:00
39.944314,116.37898,2025-06-30 12:58:40+00:00
39.943078,116.381369,2025-06-30 12:59:13+00:00
39.942391,116.382452,2025-06-30 12:59:44+00:00
39.941149,116.384121,2025-06-30 13:00:19+00:00
39.93979,116.385974,2025-06-30 13:00:54+00:00
39.939327,116.387509,2025-06-30 13:01:29+00:00
39.939125,116.388958,2025-06-30 13:02:03+00:00
39.938576,116.389641,2025-06-30 13:02:39+00:00
39.937542,116.389705,2025-06-30 13:03:11+00:00
39.936651,116.389708,2025-06-30 13:03:43+00:00
39.936092,116.389616,2025-06-30 13:04:15+00:00
39.936097,116.388834,2025-06-30 13:06:04+00:00
39.936626,116.388737,2025-06-30 13:07:05+00:00
39.936969,116.388566,2025-06-30 13:07:47+00:00
39.93736,116.388205,2025-06-30 13:08:51+00:00
39.937528,116.387692,2025-06-30 13:10:06+00:00
39.937597,116.38751,2025-06-30 13:10:39+00:00
39.93795,116.387545,2025-06-30 13:12:03+00:00
39.938001,116.387533,2025-06-30 13:12:47+00:00
39.937733,116.388155,2025-06-30 13:19:10+00:00
39.937356,116.388298,2025-06-30 13:19:52+00:00
39.93773,116.388572,2025-06-30 13:29:42+00:00
39.937918,116.389167,2025-06-30 13:31:11+00:00
39.937868,116.389703,2025-06-30 13:33:01+00:00
39.937278,116.389591,2025-06-30 13:34:52+00:00
39.937004,116.388825,2025-06-30 13:36:40+00:00
39.936884,116.388522,2025-06-30 13:37:17+00:00
39.936442,116.388709,2025-06-30 13:38:21+00:00
39.936078,116.389121,2025-06-30 13:39:36+00:00
39.936177,116.389853,2025-06-30 13:40:51+00:00
39.937255,116.389798,2025-06-30 13:41:22+00:00
39.938611,116.389838,2025-06-30 13:41:55+00:00
39.939304,116.390506,2025-06-30 13:43:51+00:00
39.939371,116.391162,2025-06-30 13:44:23+00:00
39.939382,116.392736,2025-06-30 13:44:55+00:00
39.938933,116.392859,2025-06-30 13:47:10+00:00
39.939426,116.39314,2025-06-30 13:48:33+00:00
39.939394,116.390711,2025-06-30 14:02:41+00:00
39.939066,116.389257,2025-06-30 14:03:11+00:00
39.940259,116.387849,2025-06-30 14:03:41+00:00
39.942582,116.387756,2025-06-30 14:04:11+00:00
39.944691,116.387715,2025-06-30 14:04:41+00:00
39.94713,116.387658,2025-06-30 14:05:11+00:00
39.9494,116.387453,2025-06-30 14:07:11+00:00
39.950062,116.388502,2025-06-30 14:07:41+00:00
39.950321,116.388925,2025-06-30 14:08:11+00:00
39.952458,116.38928,2025-06-30 14:09:11+00:00
39.955488,116.389123,2025-06-30 14:09:41+00:00
39.957963,116.389011,2025-06-30 14:10:11+00:00
39.960422,116.388887,2025-06-30 14:10:41+00:00
39.961683,116.388812,2025-06-30 14:11:11+00:00
39.961867,116.387073,2025-06-30 14:12:11+00:00
39.961735,116.384934,2025-06-30 14:12:41+00:00
39.96166,116.383246,2025-06-30 14:13:11+00:00
39.961662,116.381739,2025-06-30 14:13:41+00:00
39.961603,116.379367,2025-06-30 14:14:11+00:00
39.963074,116.379041,2025-06-30 14:14:41+00:00
39.964612,116.379051,2025-06-30 14:15:11+00:00
39.963082,116.379027,2025-06-30 14:18:32+00:00
39.961561,116.378838,2025-06-30 14:19:02+00:00
39.96147,116.375896,2025-06-30 14:19:32+00:00
39.959719,116.375913,2025-06-30 14:20:02+00:00
39.958325,116.376171,2025-06-30 14:20:32+00:00
39.956681,116.376139,2025-06-30 14:21:02+00:00
39.956576,116.373871,2025-06-30 14:21:32+00:00
39.956648,116.373233,2025-06-30 14:22:02+00:00
39.956773,116.371289,2025-06-30 14:22:32+00:00
39.956699,116.368259,2025-06-30 14:23:02+00:00
39.956691,116.363971,2025-06-30 14:23:37+00:00
39.956713,116.361241,2025-06-30 14:24:08+00:00
39.956736,116.357507,2025-06-30 14:24:46+00:00
39.957181,116.355137,2025-06-30 14:25:23+00:00
39.959746,116.355075,2025-06-30 14:25:57+00:00
39.96107,116.354454,2025-06-30 14:26:34+00:00
39.960985,116.352143,2025-06-30 14:27:10+00:00
39.960913,116.35024,2025-06-30 14:27:43+00:00
39.962562,116.35001,2025-06-30 14:28:52+00:00
39.963515,116.349951,2025-06-30 14:29:27+00:00
39.963188,116.350545,2025-06-30 14:50:53+00:00
39.962858,116.350583,2025-06-30 14:51:24+00:00
39.963004,116.351351,2025-06-30 14:52:06+00:00
39.963209,116.350136,2025-06-30 15:17:17+00:00
39.963199,116.350062,2025-06-30 15:59:11+00:00
39.963407,116.349192,2025-06-30 16:20:20+00:00
39.963212,116.350123,2025-06-30 16:23:28+00:00
39.963298,116.349022,2025-06-30 16:30:26+00:00
39.963199,116.350097,2025-06-30 16:45:18+00:00
39.963608,116.349216,2025-06-30 16:45:54+00:00
39.963412,116.349473,2025-06-30 16:53:07+00:00
39.963211,116.350053,2025-06-30 17:25:19+00:00
39.963359,116.349268,2025-07-01 01:07:27+00:00
39.963332,116.349743,2025-07-01 01:07:57+00:00
39.96289,116.349578,2025-07-01 01:12:28+00:00
39.963535,116.350034,2025-07-01 01:13:11+00:00
39.96354,116.34994,2025-07-01 01:15:17+00:00
39.962238,116.35096,2025-07-01 01:16:00+00:00
39.960323,116.351046,2025-07-01 01:16:37+00:00
39.960397,116.350255,2025-07-01 01:17:08+00:00
39.960866,116.351113,2025-07-01 03:22:09+00:00
39.961449,116.352536,2025-07-01 03:22:39+00:00
39.962514,116.352239,2025-07-01 03:25:55+00:00
39.963241,116.350855,2025-07-01 03:26:26+00:00
39.963647,116.350981,2025-07-01 03:26:56+00:00
39.963175,116.350729,2025-07-01 03:28:41+00:00
39.96321,116.350124,2025-07-01 03:29:47+00:00
39.963226,116.350059,2025-07-01 03:32:19+00:00
39.963306,116.349223,2025-07-01 05:01:39+00:00
39.963207,116.350088,2025-07-01 05:03:45+00:00
39.963459,116.349135,2025-07-01 06:36:32+00:00
39.963224,116.350213,2025-07-01 06:37:57+00:00
39.963091,116.349283,2025-07-01 07:04:08+00:00
39.963175,116.350421,2025-07-01 07:04:52+00:00
39.962169,116.351148,2025-07-01 07:05:23+00:00
39.960758,116.351099,2025-07-01 07:05:56+00:00
39.960369,116.350438,2025-07-01 07:06:26+00:00
39.960319,116.349874,2025-07-01 07:34:29+00:00
39.960322,116.349845,2025-07-01 07:34:59+00:00
39.960422,116.350937,2025-07-01 07:54:05+00:00
39.95961,116.35247,2025-07-01 08:05:14+00:00
39.959351,116.351807,2025-07-01 08:08:01+00:00
39.959414,116.351227,2025-07-01 08:09:03+00:00
39.959824,116.351164,2025-07-01 08:09:45+00:00
39.960363,116.351008,2025-07-01 08:11:07+00:00
39.960468,116.350521,2025-07-01 08:11:40+00:00
39.960417,116.349982,2025-07-01 08:15:02+00:00
39.960373,116.349964,2025-07-01 08:30:11+00:00
39.960765,116.34935,2025-07-01 09:36:08+00:00
39.959854,116.349003,2025-07-01 09:53:33+00:00
39.960422,116.348915,2025-07-01 09:56:36+00:00
39.963323,116.348757,2025-07-01 09:57:06+00:00
39.965521,116.348625,2025-07-01 09:57:36+00:00
39.96746,116.34854,2025-07-01 09:58:06+00:00
39.970768,116.348339,2025-07-01 09:58:36+00:00
39.973859,116.348277,2025-07-01 09:59:06+00:00
39.974781,116.348223,2025-07-01 09:59:36+00:00
39.97542,116.348116,2025-07-01 10:00:06+00:00
39.977441,116.34799,2025-07-01 10:00:36+00:00
39.978714,116.347926,2025-07-01 10:01:06+00:00
39.979995,116.348706,2025-07-01 10:01:36+00:00
39.980133,116.350909,2025-07-01 10:02:06+00:00
39.980182,116.352906,2025-07-01 10:02:36+00:00
39.980231,116.354436,2025-07-01 10:03:06+00:00
39.980171,116.354962,2025-07-01 10:03:36+00:00
39.979964,116.355691,2025-07-01 10:08:03+00:00
39.979746,116.354976,2025-07-01 10:12:46+00:00
39.979095,116.355072,2025-07-01 10:16:11+00:00
39.978579,116.355096,2025-07-01 10:16:44+00:00
39.978562,116.354412,2025-07-01 10:17:20+00:00
39.978106,116.354446,2025-07-01 10:18:28+00:00
39.977697,116.354793,2025-07-01 10:18:59+00:00
39.977457,116.354903,2025-07-01 10:19:31+00:00
39.977032,116.355313,2025-07-01 10:20:15+00:00
39.976297,116.355328,2025-07-01 10:21:18+00:00
39.976071,116.355887,2025-07-01 10:22:18+00:00
39.975984,116.35587,2025-07-01 10:22:48+00:00
39.976489,116.35579,2025-07-01 10:26:03+00:00
39.976023,116.35598,2025-07-01 10:27:01+00:00
39.976232,116.355587,2025-07-01 10:27:44+00:00
39.977055,116.355335,2025-07-01 10:46:08+00:00
39.977536,116.355873,2025-07-01 10:46:39+00:00
39.978355,116.355761,2025-07-01 10:47:09+00:00
39.980225,116.355666,2025-07-01 10:47:40+00:00
39.980139,116.354486,2025-07-01 10:48:14+00:00
39.980183,116.353566,2025-07-01 10:48:46+00:00
39.979752,116.353251,2025-07-01 11:01:59+00:00
39.979823,116.353309,2025-07-01 11:10:26+00:00
39.980191,116.354035,2025-07-01 11:25:39+00:00
39.980112,116.355622,2025-07-01 11:26:11+00:00
39.978402,116.355766,2025-07-01 11:26:42+00:00
39.977374,116.355688,2025-07-01 11:27:15+00:00
39.976472,116.355328,2025-07-01 11:27:48+00:00
39.976076,116.355551,2025-07-01 11:28:20+00:00
39.977353,116.355285,2025-07-01 11:32:30+00:00
39.977139,116.356191,2025-07-01 11:33:06+00:00
39.975438,116.356203,2025-07-01 11:33:36+00:00
39.97535,116.354523,2025-07-01 11:34:08+00:00
39.975339,116.351916,2025-07-01 11:34:42+00:00
39.975419,116.348915,2025-07-01 11:35:18+00:00
39.975349,116.34741,2025-07-01 11:35:53+00:00
39.974621,116.346812,2025-07-01 11:38:14+00:00
39.971827,116.346721,2025-07-01 11:38:50+00:00
39.968329,116.346922,2025-07-01 11:39:25+00:00
39.965156,116.347091,2025-07-01 11:40:04+00:00
39.966162,116.347202,2025-07-01 11:40:35+00:00
39.966014,116.351438,2025-07-01 11:41:13+00:00
39.965685,116.354736,2025-07-01 11:41:48+00:00
39.963764,116.354241,2025-07-01 11:42:18+00:00
39.963646,116.350896,2025-07-01 11:42:54+00:00
39.962671,116.350935,2025-07-01 11:43:31+00:00
39.96094,116.350985,2025-07-01 11:44:02+00:00
39.960922,116.349696,2025-07-01 11:44:37+00:00
39.962582,116.350031,2025-07-01 11:55:35+00:00
39.963177,116.350147,2025-07-01 11:56:05+00:00
39.963267,116.350206,2025-07-01 11:56:36+00:00
39.962834,116.349095,2025-07-01 12:28:30+00:00
39.963088,116.350259,2025-07-01 12:29:04+00:00
39.962953,116.35121,2025-07-01 12:29:38+00:00
39.962058,116.35091,2025-07-01 12:44:25+00:00
39.960382,116.350875,2025-07-01 12:44:56+00:00
39.960385,116.350133,2025-07-01 12:45:26+00:00
39.960387,116.350114,2025-07-01 14:09:24+00:00
39.958879,116.351157,2025-07-01 14:10:42+00:00
39.957813,116.351154,2025-07-01 14:11:18+00:00
39.956871,116.35184,2025-07-01 14:11:53+00:00
39.956753,116.349897,2025-07-01 14:12:25+00:00
39.956909,116.3482,2025-07-01 14:12:56+00:00
39.955999,116.348661,2025-07-01 14:13:28+00:00
39.954363,116.348787,2025-07-01 14:13:58+00:00
39.952127,116.348787,2025-07-01 14:15:00+00:00
39.951199,116.348758,2025-07-01 14:15:32+00:00
39.950567,116.348966,2025-07-01 14:16:03+00:00
39.949088,116.349501,2025-07-01 14:16:39+00:00
39.947394,116.34988,2025-07-01 14:17:15+00:00
39.945301,116.34996,2025-07-01 14:17:46+00:00
39.943386,116.349894,2025-07-01 14:18:21+00:00
39.942043,116.349101,2025-07-01 14:18:52+00:00
39.940777,116.348851,2025-07-01 14:19:23+00:00
39.939454,116.348228,2025-07-01 14:19:53+00:00
39.939209,116.346393,2025-07-01 14:20:26+00:00
39.939102,116.345694,2025-07-01 14:21:30+00:00
39.938714,116.343185,2025-07-01 14:22:00+00:00
39.937993,116.340535,2025-07-01 14:22:36+00:00
39.937524,116.338496,2025-07-01 14:23:12+00:00
39.937436,116.336489,2025-07-01 14:23:43+00:00
39.937272,116.334151,2025-07-01 14:24:14+00:00
39.937186,116.331406,2025-07-01 14:24:46+00:00
39.937073,116.329776,2025-07-01 14:25:17+00:00
39.93707,116.32805,2025-07-01 14:25:47+00:00
39.937286,116.326137,2025-07-01 14:26:20+00:00
39.937393,116.323583,2025-07-01 14:26:53+00:00
39.937699,116.321095,2025-07-01 14:27:27+00:00
39.938205,116.319794,2025-07-01 14:27:57+00:00
39.93709,116.319354,2025-07-01 14:28:41+00:00
39.934783,116.319372,2025-07-01 14:29:18+00:00
39.933019,116.319337,2025-07-01 14:29:51+00:00
39.931594,116.319433,2025-07-01 14:30:26+00:00
39.930081,116.319469,2025-07-01 14:31:57+00:00
